Location,Player1,Player2,Series,Court,Surface,ActualRankingP1,ActualRankingP2,AvgP1,AvgP2,HeightP1,HandednessP1,NewNameP1,IdP1,PhotoP1,HeightP2,HandednessP2,NewNameP2,IdP2,PhotoP2,P1Winner,PredictP1
Paris,Mager G.,Millman J.,Grand Slam,Outdoor,Clay,98,43,1.73,2.13,188.0,Right-Handed,Mager G.,1071,https://www.atptour.com/-/media/tennis/players/head-shot/2019/mager_gianluca_headpp19.png?sc=0&hash=9A49C70723087F0A067D2B9479E3B439,183.0,Right-Handed,Millman J.,1153.0,https://www.atptour.com/-/media/tennis/players/gladiator/2020/millman_full_ao20.png?sc=0&hash=84BED3DEB2F1775DD749F49E1A8510C7,3.0,0.58482426
Paris,Cerundolo F.,Monteiro T.,Grand Slam,Outdoor,Clay,115,76,2.31,1.63,185.0,Right-Handed,Cerundolo F.,295,https://www.atptour.com/-/media/tennis/players/head-shot/2020/cerundolo_francisco_head_pp20.png?sc=0&hash=37A2FF2BDCB353EA0B5F8A53D5536D80,183.0,Left-Handed,Monteiro T.,1183.0,https://www.atptour.com/-/media/tennis/players/gladiator/2020/monteiro_full_ao20.png?sc=0&hash=37DCC64D1926E540F309AA5E5C8FB071,0.0,0.44177285
Paris,Johnson S.,Tiafoe F.,Grand Slam,Outdoor,Clay,88,65,5.25,1.17,188.0,Right-Handed,Johnson S.,829,https://www.atptour.com/-/media/tennis/players/gladiator/2020/johnson_full_ao20.png?sc=0&hash=F2E5F23372D8D01F8A7AB38CB12F902C,188.0,Right-Handed,Tiafoe F.,1738.0,https://www.atptour.com/-/media/tennis/players/gladiator/2020/tiafoe_full_ao20.png?sc=0&hash=5A83F0965A208A584524B5EC481C449F,1.0,0.13822508
Paris,Mager G.,Gojowczyk P.,Grand Slam,Outdoor,Clay,98,130,1.28,5.33,188.0,Right-Handed,Mager G.,1071,https://www.atptour.com/-/media/tennis/players/head-shot/2019/mager_gianluca_headpp19.png?sc=0&hash=9A49C70723087F0A067D2B9479E3B439,188.0,Right-Handed,Gojowczyk P.,621.0,https://www.atptour.com/-/media/tennis/players/gladiator/2019/gojowczyk_full_ao19.png?sc=0&hash=774DADC079F513004C9EC6EF76210E8C,1.0,0.8706713
Paris,Marterer M.,Krajinovic F.,Grand Slam,Outdoor,Clay,214,33,2.66,1.49,188.0,Left-Handed,Marterer M.,1091,https://www.atptour.com/-/media/tennis/players/gladiator/2020/marterer_full_ao20.png?sc=0&hash=6D6CF85EE5015EBFCD1DF7495D2728C5,185.0,Right-Handed,Krajinovic F.,952.0,https://www.atptour.com/-/media/tennis/players/gladiator/2020/krajinovic_full_ao20.png?sc=0&hash=8D2C0340E83043707C669CAA5F5864A5,0.0,0.3742853
Paris,Sinner J.,Herbert P.H.,Grand Slam,Outdoor,Clay,19,78,1.12,6.42,188.0,Right-Handed,Sinner J.,1595,https://www.atptour.com/-/media/tennis/players/gladiator/2020/sinner_full_ao20.png?sc=0&hash=D09153DA3EB4B4807687EA40DAC8109E,188.0,Right-Handed,Herbert P.H.,734.0,https://www.atptour.com/-/media/tennis/players/gladiator/2019/herbert_full_ao19.png?sc=0&hash=425D74ED48C075E7202D9B4AC14D88AE,1.0,0.9163872
Paris,Querrey S.,Isner J.,Grand Slam,Outdoor,Clay,67,38,4.01,1.25,198.0,Right-Handed,Querrey S.,1381,https://www.atptour.com/-/media/tennis/players/gladiator/2020/querrey_full_ao20.png?sc=0&hash=6CE98B435677A2BFEDA3DD5766ED402D,208.0,Right-Handed,Isner J.,777.0,https://www.atptour.com/-/media/tennis/players/gladiator/2020/isner_full_ao20.png?sc=0&hash=3A4BA7D421796FFEA280CAECFEF14A94,0.0,0.25199997
Paris,Albot R.,Delbonis F.,Grand Slam,Outdoor,Clay,82,84,5.21,1.17,175.0,Right-Handed,Albot R.,14,https://www.atptour.com/-/media/tennis/players/gladiator/2020/albot_full_ao20.png?sc=0&hash=C9FED79314B0585B11197901799B1B00,193.0,Left-Handed,Delbonis F.,413.0,https://www.atptour.com/-/media/tennis/players/gladiator/2020/delbonis_full_ao20.png?sc=0&hash=C96F1CE94B20260668A92F995AB54985,0.0,0.13822508
Paris,Ruud C.,Paire B.,Grand Slam,Outdoor,Clay,24,35,1.05,11.57,183.0,Right-Handed,Ruud C.,1489,https://www.atptour.com/-/media/tennis/players/gladiator/2020/ruud_full_ao20.png?sc=0&hash=018035A9D61A8592D080BDFBDE691D1B,196.0,Right-Handed,Paire B.,1299.0,https://www.atptour.com/-/media/tennis/players/gladiator/2021/03/29/16/56/paire_full_2021.png?sc=0&hash=7344B3C17C60EF86BAED82E726F2B52D,1.0,0.9860545
Paris,Norrie C.,Fratangelo B.,Grand Slam,Outdoor,Clay,58,221,1.21,4.54,188.0,Left-Handed,Norrie C.,1262,https://www.atptour.com/-/media/tennis/players/gladiator/2020/norrie_full_ao20.png?sc=0&hash=F026DB7F69D226646AF6F42DF9C2088F,183.0,Right-Handed,Fratangelo B.,553.0,https://www.atptour.com/-/media/tennis/players/head-shot/2020/fratangelo_bjorn_head_pp2020.png?sc=0&hash=7399ABB50C0499CD02E1A09E7C73B936,1.0,0.84340465
